"Discipline","Journal","Author position","Age","Standardised IF","n useable papers","n authors","Gender ratio of sample","Observed alpha","Lower 95 CI","Upper 95 CI","Alpha adjusted","Lower 95 CI","Upper 95 CI","Unadjusted p value","Adjusted p value"
"Physical and Rehabilitation Medicine","Disabil Rehabil","First authors","Old",0.013,68,154,51.299,0.141,-0.075,0.369,0.135,-0.09,0.336,0.164,0.421
"Drug Therapy","Expert Opin Investig Drugs","First authors","Old",0.279,68,110,28.182,0.084,-0.123,0.285,0.09,-0.1,0.282,0.429,0.666
"Neurology","Glia","First authors","Old",0.353,68,246,40.244,0.043,-0.115,0.191,0.04,-0.116,0.205,0.582,0.781
"Psychiatry","J Child Psychol Psychiatry","First authors","Old",0.374,68,181,48.066,0.107,-0.08,0.287,0.105,-0.082,0.289,0.219,0.483
"Medicine","J Pak Med Assoc","First authors","Old",-0.616,68,151,29.139,0.289,0.098,0.469,0.292,0.098,0.498,0,0
"Pulmonary Medicine","Proc Am Thorac Soc","First authors","Old",NA,68,114,20.175,0.039,-0.169,0.311,0.046,-0.162,0.298,0.757,0.88
"General Surgery","Acta Cir Bras","First authors","Old",-0.423,67,242,32.231,-0.031,-0.204,0.145,-0.024,-0.179,0.145,0.705,0.845
"Geriatrics","Aging Clin Exp Res","First authors","Old",-0.246,67,257,45.136,0.096,-0.074,0.255,0.092,-0.064,0.244,0.243,0.502
"Hematology","Blood Coagul Fibrinolysis","First authors","Old",-0.321,67,250,33.2,0.03,-0.121,0.179,0.034,-0.105,0.18,0.687,0.832
"Physiology","Clin Exp Pharmacol Physiol","First authors","Old",-0.094,67,204,31.863,0.111,-0.055,0.267,0.117,-0.034,0.282,0.171,0.429
"Medicine","Croat Med J","First authors","Old",NA,67,197,39.594,0.157,-0.03,0.353,0.157,-0.029,0.363,0.092,0.3
"Dermatology","Cutis","First authors","Old",-0.333,67,146,43.836,-0.089,-0.277,0.078,-0.095,-0.273,0.078,0.345,0.602
"Biology","DNA Repair (Amst)","First authors","Old",NA,67,186,38.71,-0.008,-0.208,0.196,-0.015,-0.201,0.191,0.92,0.955
"Medicine","Eur J Med Chem","First authors","Old",0.287,67,307,42.997,0.081,-0.065,0.215,0.077,-0.08,0.211,0.247,0.506
"Cardiology","Ital Heart","First authors","Old",NA,67,296,22.973,0.1,-0.048,0.253,0.102,-0.047,0.275,0.218,0.482
"Dentistry","J Am Dent Assoc","First authors","Old",0.06,67,166,25.301,0.095,-0.077,0.272,0.1,-0.084,0.272,0.323,0.582
"Physiology","J Insect Physiol","First authors","Old",-0.041,67,168,31.548,0.167,-0.015,0.345,0.168,0,0.342,0.036,0.191
"Geriatrics","Maturitas","First authors","Old",0.112,67,281,41.281,0.137,-0.013,0.274,0.142,-0.004,0.284,0.048,0.223
"Immunology","Nat Immunol","First authors","Old",0.78,67,233,32.618,0.046,-0.118,0.212,0.044,-0.12,0.214,0.558,0.76
"Psychiatry","Nord J Psychiatry","First authors","Old",NA,67,155,37.419,-0.021,-0.205,0.179,-0.022,-0.202,0.172,0.814,0.904
"Biology","PLoS Biol","First authors","Old",0.582,67,176,26.705,0.168,-0.026,0.398,0.17,-0.043,0.39,0.083,0.283
"Reproductive Medicine","Reproduction","First authors","Old",0.105,67,203,41.872,0.053,-0.136,0.229,0.057,-0.119,0.237,0.548,0.756
"Multidisciplinary","ScientificWorldJournal","First authors","Old",NA,67,170,32.941,0.181,-0.007,0.355,0.189,-0.004,0.372,0.06,0.251
"Microbiology","Vet Microbiol","First authors","Old",-0.043,67,248,39.919,0.123,-0.011,0.273,0.122,-0.02,0.262,0.114,0.342
"Medicine","WMJ","First authors","Old",NA,67,170,38.824,0.125,-0.042,0.282,0.126,-0.044,0.284,0.173,0.431
"Psychiatry","Am J Geriatr Psychiatry","First authors","Old",NA,66,263,34.981,0.059,-0.071,0.218,0.06,-0.082,0.2,0.408,0.65
"Brain","Brain Lang","First authors","Old",0.014,66,144,44.444,0.184,-0.012,0.385,0.183,-0.021,0.379,0.069,0.264
"Cardiology","Can J Cardiol","First authors","Old",0.127,66,173,25.434,-0.031,-0.2,0.135,-0.03,-0.194,0.15,0.732,0.863
"Psychology","Cognition","First authors","Old",NA,66,120,44.167,0.226,0.023,0.44,0.222,0.009,0.433,0.028,0.166
"Cell Biology","Diagn Cytopathol","First authors","Old",-0.559,66,179,45.251,0.208,0.03,0.397,0.205,0.034,0.404,0.032,0.178
"Medicine","Expert Rev Med Devices","First authors","Old",-0.059,66,122,22.131,0.067,-0.157,0.321,0.071,-0.147,0.331,0.577,0.775
"Audiology","Hear Res","First authors","Old",0.233,66,138,30.435,0.14,-0.054,0.339,0.144,-0.064,0.334,0.143,0.389
"Genetics","Hum Genet","First authors","Old",0.229,66,406,40.64,-0.034,-0.155,0.082,-0.036,-0.167,0.09,0.548,0.756
"Medicine","J Altern Complement Med","First authors","Old",-0.16,66,166,38.554,0.164,-0.026,0.338,0.176,-0.004,0.362,0.064,0.258
"Pulmonary Medicine","J Asthma","First authors","Old",-0.139,66,226,46.903,-0.005,-0.165,0.154,0.002,-0.158,0.157,0.95,0.973
"Unclassified","Perception","First authors","Old",-0.312,66,104,31.731,-0.101,-0.292,0.105,-0.1,-0.277,0.101,0.329,0.586
"Biology","Philos Trans R Soc Lond B Biol Sci","First authors","Old",NA,66,146,28.082,-0.04,-0.218,0.147,-0.034,-0.214,0.156,0.697,0.839
"Cell Biology","Plant Cell","First authors","Old",0.382,66,272,33.088,-0.009,-0.157,0.15,-0.009,-0.151,0.15,0.916,0.953
"Therapeutics","Qual Life Res","First authors","Old",0.064,66,205,43.902,0.071,-0.116,0.247,0.071,-0.114,0.246,0.414,0.652
"Medicine","Rev Invest Clin","First authors","Old",NA,66,177,30.508,0.089,-0.106,0.283,0.092,-0.102,0.296,0.34,0.596
"Medicine","Shock","First authors","Old",0.179,66,313,27.796,0.096,-0.009,0.2,0.098,-0.006,0.199,0.156,0.412
"Neoplasms","Support Care Cancer","First authors","Old",-0.101,66,308,46.753,0.119,-0.034,0.257,0.12,-0.019,0.257,0.1,0.316
"Transplantation","Transpl Int","First authors","Old",0.125,66,313,19.489,0.08,-0.051,0.226,0.081,-0.04,0.221,0.243,0.502
"Medicine","Ultrasound Med Biol","First authors","Old",0.057,66,241,17.842,0.036,-0.128,0.231,0.039,-0.11,0.232,0.606,0.794
"Neurology","Adv Neurol","First authors","Old",NA,65,105,35.238,0.011,-0.194,0.231,0.018,-0.179,0.222,0.91,0.953
"Medicine","Am J Phys Med Rehabil","First authors","Old",0.01,65,177,36.723,0.061,-0.119,0.241,0.064,-0.119,0.249,0.495,0.713
"Chemistry","Ann Chim","First authors","Old",NA,65,211,40.284,0.013,-0.151,0.176,0.014,-0.154,0.176,0.877,0.932
"Rheumatology","Arthritis Res Ther","First authors","Old",0.176,65,299,38.796,0.03,-0.109,0.177,0.031,-0.117,0.17,0.679,0.831
"Transplantation","Biol Blood Marrow Transplant","First authors","Old",0.273,65,345,37.391,0.087,-0.049,0.209,0.089,-0.047,0.215,0.228,0.491
"Cell Biology","Cell Calcium","First authors","Old",-0.086,65,166,26.506,0.03,-0.118,0.16,0.029,-0.11,0.159,0.743,0.871
"Medicine","Cleve Clin J Med","First authors","Old",NA,65,99,22.222,0.143,-0.081,0.369,0.142,-0.089,0.388,0.168,0.428
"Biochemistry","Clin Biochem","First authors","Old",-0.116,65,253,37.945,-0.027,-0.189,0.134,-0.022,-0.171,0.125,0.733,0.863
"Medicine","Clin J Sport Med","First authors","Old",0.058,65,154,27.273,0.182,-0.008,0.375,0.177,-0.015,0.362,0.052,0.23
"Neurology","Epilepsy Res","First authors","Old",-0.075,65,213,35.211,0.073,-0.077,0.232,0.077,-0.078,0.243,0.381,0.628
"Microbiology","FEMS Yeast Res","First authors","Old",-0.058,65,198,42.424,0.08,-0.093,0.249,0.08,-0.075,0.249,0.346,0.603
"Immunology","Immunol Rev","First authors","Old",0.472,65,148,39.865,0.146,-0.018,0.311,0.144,-0.022,0.321,0.128,0.366
"Psychology","J Abnorm Psychol","First authors","Old",NA,65,162,38.272,0.13,-0.039,0.307,0.126,-0.05,0.282,0.142,0.389
"Medicine","J Occup Environ Med","First authors","Old",-0.093,65,247,35.628,0.123,-0.019,0.257,0.124,-0.02,0.268,0.086,0.286
"Traumatology","Knee Surg Sports Traumatol Arthrosc","First authors","Old",0.263,65,191,12.042,0.038,-0.105,0.238,0.038,-0.105,0.207,0.556,0.76
"Medicine","Nucl Med Commun","First authors","Old",-0.142,65,257,26.848,0.063,-0.098,0.23,0.067,-0.088,0.24,0.396,0.64
"Molecular Biology","Plant Mol Biol","First authors","Old",NA,65,227,35.242,-0.012,-0.153,0.132,-0.014,-0.161,0.141,0.887,0.939
"Medicine","Presse Med","First authors","Old",-0.298,65,164,36.585,0.126,-0.052,0.295,0.12,-0.039,0.275,0.164,0.421
"Medicine","Proc (Bayl Univ Med Cent)","First authors","Old",NA,65,152,27.632,0.372,0.133,0.616,0.377,0.149,0.604,0,0
"Public Health","Public Health Rep","First authors","Old",-0.059,65,173,53.757,0.166,-0.012,0.345,0.165,-0.018,0.337,0.052,0.23
"Unclassified","Z Naturforsch C J Biosci","First authors","Old",NA,65,189,39.153,-0.066,-0.249,0.115,-0.063,-0.244,0.122,0.431,0.666
"Chemistry Techniques, Analytical","Analyst","First authors","Old",0.275,64,166,25.904,0.172,0.005,0.334,0.166,0.007,0.328,0.032,0.178
"Cell Biology","Bioessays","First authors","Old",0.125,64,103,22.33,-0.061,-0.237,0.11,-0.06,-0.248,0.122,0.501,0.717
"Public Health","Can J Public Health","First authors","Old",NA,64,169,52.071,-0.022,-0.204,0.148,-0.023,-0.206,0.158,0.829,0.907
"Medicine","Clin Biomech (Bristol Avon)","First authors","Old",NA,64,171,22.807,-0.03,-0.159,0.109,-0.035,-0.158,0.104,0.686,0.832
"Cell Biology","Eur J Cell Biol","First authors","Old",0.053,64,216,43.519,0.008,-0.155,0.169,0.015,-0.136,0.182,0.936,0.965
"Hematology","Eur J Haematol","First authors","Old",-0.01,64,335,36.418,0.014,-0.113,0.145,0.016,-0.112,0.142,0.847,0.914
"Public Health","Gac Sanit","First authors","Old",-0.12,64,183,51.913,0.323,0.148,0.489,0.323,0.137,0.495,0,0
"Gynecology","Gynecol Endocrinol","First authors","Old",-0.144,64,253,37.549,0.073,-0.107,0.255,0.071,-0.118,0.26,0.403,0.647
"Psychiatry","J Autism Dev Disord","First authors","Old",NA,64,172,56.395,0.03,-0.157,0.215,0.028,-0.162,0.224,0.76,0.882
"Dermatology","J Dermatol","First authors","Old",-0.102,64,212,31.604,0.349,0.166,0.536,0.351,0.172,0.563,0,0
"Pediatrics","J Pediatr Psychol","First authors","Old",NA,64,179,59.218,0.054,-0.134,0.226,0.047,-0.119,0.221,0.561,0.763
"Medicine","Pediatr Crit Care Med","First authors","Old",0.12,64,213,34.742,0.101,-0.081,0.305,0.103,-0.085,0.297,0.273,0.528
"Pediatrics","Pediatr Dermatol","First authors","Old",-0.117,64,178,51.685,0.139,-0.065,0.343,0.142,-0.066,0.337,0.133,0.373
"Medicine","Prev Med","First authors","Old",0.157,64,255,47.843,0.09,-0.051,0.243,0.084,-0.073,0.231,0.214,0.474
"Veterinary Medicine","Vet Radiol Ultrasound","First authors","Old",-0.108,64,194,36.082,-0.153,-0.278,-0.028,-0.158,-0.278,-0.03,0.061,0.251
"Virology","Virol J","First authors","Old",NA,64,170,36.471,0.153,0.01,0.31,0.152,-0.004,0.3,0.054,0.234
"Traumatology","Accid Anal Prev","First authors","Old",NA,63,143,35.664,0.005,-0.211,0.234,0.011,-0.234,0.261,0.972,0.985
"Epidemiology","Ann Epidemiol","First authors","Old",-0.137,63,218,48.624,0.189,0.024,0.371,0.185,-0.003,0.367,0.032,0.178
"Microbiology","Can J Microbiol","First authors","Old",-0.326,63,163,38.037,0.081,-0.103,0.267,0.077,-0.108,0.249,0.398,0.64
"Environmental Health","Ecol Appl","First authors","Old",0.224,63,152,27.632,-0.053,-0.218,0.104,-0.05,-0.208,0.106,0.592,0.784
"Epidemiology","Epidemiology","First authors","Old",0.278,63,253,36.364,0.09,-0.059,0.241,0.09,-0.067,0.253,0.265,0.522
"Geriatrics","Exp Gerontol","First authors","Old",0.143,63,230,40.435,0.098,-0.058,0.261,0.095,-0.046,0.241,0.222,0.486
"Medicine","Fam Med","First authors","Old",-0.313,63,151,52.98,0.077,-0.124,0.263,0.077,-0.118,0.273,0.45,0.68
"Genetics, Medical","Hum Mutat","First authors","Old",0.271,63,379,44.327,0.015,-0.126,0.173,0.011,-0.147,0.167,0.827,0.907
"Medicine","IEEE Trans Med Imaging","First authors","Old",0.27,63,159,10.692,0.051,-0.094,0.26,0.06,-0.087,0.25,0.564,0.766
"Toxicology","J Anal Toxicol","First authors","Old",-0.022,63,179,32.402,0.124,-0.054,0.301,0.122,-0.05,0.298,0.177,0.434
"Neurology","J Clin Exp Neuropsychol","First authors","Old",-0.196,63,188,36.702,0.257,0.086,0.423,0.257,0.087,0.422,0.001,0.019
"Neurology","J Clin Neurosci","First authors","Old",-0.283,63,188,22.34,0.015,-0.152,0.181,0.019,-0.135,0.178,0.872,0.931
"Environmental Health","J Environ Monit","First authors","Old",NA,63,163,30.061,0.18,0.021,0.339,0.178,0.021,0.331,0.034,0.187
"Physiology","J Plant Physiol","First authors","Old",0.077,63,148,31.757,-0.065,-0.227,0.102,-0.065,-0.233,0.098,0.494,0.713
"Veterinary Medicine","J Wildl Dis","First authors","Old",0.001,63,218,33.945,-0.073,-0.222,0.084,-0.074,-0.22,0.067,0.326,0.583
"Rheumatology","Joint Bone Spine","First authors","Old",0.045,63,191,31.937,0.108,-0.073,0.278,0.109,-0.088,0.295,0.182,0.438
"General Surgery","Tech Hand Up Extrem Surg","First authors","Old",NA,63,101,18.812,-0.161,-0.242,-0.089,-0.164,-0.247,-0.095,0.444,0.676
"AIDS","AIDS Res Hum Retroviruses","First authors","Old",NA,62,407,42.26,0.095,-0.003,0.197,0.093,-0.004,0.195,0.102,0.319
"Communicable Diseases","Am J Infect Control","First authors","Old",-0.148,62,224,50.446,0.106,-0.071,0.284,0.107,-0.08,0.282,0.219,0.483
"Cardiology","Arch Cardiol Mex","First authors","Old",NA,62,273,23.077,-0.04,-0.212,0.182,-0.032,-0.196,0.197,0.677,0.831
"Pharmacology","Basic Clin Pharmacol Toxicol","First authors","Old",0.049,62,194,26.289,0.122,-0.029,0.281,0.128,-0.019,0.269,0.121,0.354
"Psychophysiology","Biol Psychol","First authors","Old",0.088,62,163,31.288,0.213,0.058,0.361,0.209,0.052,0.365,0.008,0.082
"Neoplasms","Cancer Immunol Immunother","First authors","Old",0.18,62,297,35.69,0.073,-0.07,0.209,0.074,-0.066,0.214,0.311,0.569
"Molecular Biology","Chem Biol Interact","First authors","Old",NA,62,221,30.317,0.065,-0.09,0.232,0.068,-0.08,0.232,0.425,0.665
"Medicine","Clin Sci","First authors","Old",0.394,62,245,27.347,0.015,-0.129,0.168,0.018,-0.131,0.168,0.853,0.918
"Medicine","Dis Aquat Org","First authors","Old",NA,62,167,34.132,-0.018,-0.211,0.182,-0.018,-0.201,0.167,0.857,0.92
"Pharmacology","Drug Discov Today","First authors","Old",0.308,62,116,11.207,-0.02,-0.137,0.123,-0.005,-0.126,0.134,0.825,0.907
"Epidemiology","Eur J Epidemiol","First authors","Old",0.346,62,219,39.269,0.021,-0.124,0.172,0.024,-0.142,0.162,0.79,0.893
"Medicine","FEMS Immunol Med Microbiol","First authors","Old",NA,62,207,46.377,0.156,-0.014,0.321,0.16,0.003,0.306,0.071,0.266
"Dentistry","Int J Oral Maxillofac Implants","First authors","Old",0.082,62,177,17.514,0.038,-0.133,0.229,0.037,-0.134,0.225,0.674,0.831
"Gynecology","J Minim Invasive Gynecol","First authors","Old",NA,62,202,29.208,0.07,-0.146,0.294,0.079,-0.134,0.301,0.494,0.713
"Medicine","J Pain","First authors","Old",0.345,62,184,37.5,0.039,-0.138,0.218,0.041,-0.131,0.203,0.632,0.811
"Public Health","J Public Health Manag Pract","First authors","Old",NA,62,178,50,-0.025,-0.222,0.163,-0.025,-0.215,0.153,0.817,0.904
"Physiology","Plant Cell Physiol","First authors","Old",0.239,62,194,31.959,-0.01,-0.17,0.144,-0.006,-0.149,0.162,0.916,0.953
"Medicine","Recenti Prog Med","First authors","Old",NA,62,223,41.704,0.003,-0.146,0.151,0.005,-0.153,0.156,0.975,0.987
"Drug Therapy","Ther Drug Monit","First authors","Old",-0.045,62,230,35.652,-0.105,-0.271,0.058,-0.102,-0.256,0.058,0.229,0.492
"Immunology","Vet Immunol Immunopathol","First authors","Old",-0.286,62,222,34.685,-0.078,-0.216,0.064,-0.077,-0.217,0.074,0.327,0.584
"Psychiatry","Acad Psychiatry","First authors","Old",NA,61,167,37.126,0.037,-0.139,0.211,0.044,-0.134,0.224,0.687,0.832
"Cell Biology","Acta Cytol","First authors","Old",NA,61,197,47.716,-0.151,-0.337,0.032,-0.152,-0.336,0.048,0.1,0.316
"General Surgery","Ann Ital Chir","First authors","Old",-0.59,61,299,23.077,0.104,0.011,0.198,0.109,0.005,0.205,0.359,0.615
"Cardiology","Asian Cardiovasc Thorac Ann","First authors","Old",NA,61,196,11.735,0.185,-0.049,0.456,0.189,-0.047,0.47,0.019,0.136
"Psychiatry","Can J Psychiatry","First authors","Old",NA,61,173,29.48,0.021,-0.152,0.224,0.024,-0.167,0.2,0.818,0.904
"Biochemistry","Chem Biol","First authors","Old",0.269,61,222,31.081,-0.029,-0.172,0.114,-0.023,-0.168,0.113,0.73,0.863
"Physiology","Chronobiol Int","First authors","Old",0.153,61,210,40,0.017,-0.136,0.188,0.023,-0.153,0.179,0.845,0.914
"Physiology","Comp Biochem Physiol B Biochem Mol Biol","First authors","Old",NA,61,179,36.872,-0.056,-0.205,0.104,-0.056,-0.216,0.11,0.511,0.727
"Cell Biology","Cytometry","First authors","Old",NA,61,242,24.38,0.062,-0.084,0.216,0.068,-0.085,0.229,0.384,0.63
"Pharmacology","Expert Opin Drug Deliv","First authors","Old",0.293,61,110,26.364,0.124,-0.071,0.322,0.128,-0.074,0.316,0.19,0.45
"Medicine","Head Neck","First authors","Old",NA,61,240,23.333,0.188,0.001,0.368,0.192,0.022,0.386,0.016,0.122
"Medical Informatics","IEEE Trans Neural Netw","First authors","Old",NA,61,102,8.824,-0.125,-0.208,-0.052,-0.102,-0.186,-0.026,0.146,0.392
"Immunology","Immunology","First authors","Old",0.103,61,189,40.741,0.247,0.112,0.389,0.246,0.093,0.388,0.002,0.031
"Pediatrics","Indian Pediatr","First authors","Old",NA,61,90,44.444,0.075,-0.199,0.322,0.079,-0.17,0.329,0.542,0.751
"Physiology","J Strength Cond Res","First authors","Old",-0.1,61,176,18.75,0.084,-0.128,0.356,0.09,-0.131,0.325,0.365,0.618
"General Surgery","J Surg Oncol","First authors","Old",0.312,61,277,18.412,0.077,-0.1,0.275,0.079,-0.096,0.27,0.361,0.616
"General Surgery","JSLS","First authors","Old",NA,61,211,13.27,0.351,-0.162,0.878,0.33,-0.196,0.844,0.068,0.261
"Geriatrics","Mech Ageing Dev","First authors","Old",0.079,61,215,40,0.017,-0.166,0.219,0.014,-0.172,0.209,0.868,0.929
"Physical and Rehabilitation Medicine","Phys Ther","First authors","Old",0.177,61,175,42.286,0.006,-0.156,0.186,0.007,-0.179,0.172,0.956,0.974
"Public Health","Public Health Nutr","First authors","Old",0.088,61,198,45.455,0.076,-0.106,0.267,0.08,-0.107,0.271,0.439,0.671
"Medicine","Rev Med Inst Mex Seguro Soc","First authors","Old",NA,61,166,34.337,0.064,-0.098,0.231,0.069,-0.093,0.225,0.519,0.734
"Substance-Related Disorders","Subst Use Misuse","First authors","Old",-0.356,61,173,44.509,0.181,-0.007,0.356,0.179,-0.009,0.365,0.066,0.26
"Genetics","Am J Hum Genet","First authors","Old",0.551,60,442,37.104,0.133,-0.003,0.259,0.131,0.003,0.261,0.054,0.234
"Health Services","Am J Manag Care","First authors","Old",-0.118,60,198,41.919,0.036,-0.161,0.231,0.031,-0.151,0.211,0.726,0.862
"Hematology","Ann Hematol","First authors","Old",0.065,60,252,40.873,0.009,-0.159,0.174,0.012,-0.153,0.176,0.912,0.953
"General Surgery","Ann Vasc Surg","First authors","Old",-0.167,60,217,11.06,-0.03,-0.112,0.064,-0.023,-0.113,0.066,0.61,0.797
"Dentistry","Braz Oral Res","First authors","Old",-0.253,60,209,43.541,-0.028,-0.193,0.151,-0.031,-0.201,0.127,0.715,0.853
"Ophthalmology","Can J Ophthalmol","First authors","Old",-0.137,60,145,35.862,-0.112,-0.299,0.065,-0.119,-0.306,0.055,0.252,0.511
"Internal Medicine","Clin Evid","First authors","Old",NA,60,84,33.333,0.249,0.027,0.489,0.25,0.029,0.48,0.041,0.206
"Nursing","Contemp Nurse","First authors","Old",-0.059,60,110,72.727,0.037,-0.217,0.309,0.036,-0.198,0.33,0.769,0.885
"Medicine","Curr Med Chem","First authors","Old",0.234,60,124,31.452,0.036,-0.169,0.272,0.044,-0.17,0.275,0.736,0.864
"Substance-Related Disorders","Drug Alcohol Rev","First authors","Old",NA,60,153,47.712,0.079,-0.104,0.272,0.081,-0.103,0.255,0.414,0.652
"Endocrinology","Endocr Pract","First authors","Old",-0.176,60,153,30.065,0.05,-0.13,0.249,0.049,-0.14,0.256,0.583,0.782
"Epidemiology","Epidemiol Prev","First authors","Old",-0.54,60,272,40.441,0.005,-0.131,0.145,0.006,-0.126,0.134,0.943,0.971
"Cardiology","Eur J Heart Fail","First authors","Old",0.344,60,310,29.355,0.182,0.027,0.338,0.177,0.037,0.335,0.008,0.082
"Orthopedics","Gait Posture","First authors","Old",0.099,60,151,31.126,0.041,-0.159,0.239,0.039,-0.154,0.239,0.644,0.818
"Cell Biology","Histochem Cell Biol","First authors","Old",-0.106,60,221,38.462,0.109,-0.052,0.281,0.115,-0.05,0.27,0.163,0.421
"Biomedical Engineering","J Biomech Eng","First authors","Old",NA,60,134,12.687,0.077,-0.082,0.276,0.086,-0.067,0.289,0.38,0.628
"Neurology","J Int Neuropsychol Soc","First authors","Old",-0.004,60,175,48,0.119,-0.07,0.289,0.123,-0.048,0.304,0.168,0.428
"Chemistry","Magn Reson Chem","First authors","Old",-0.483,60,192,21.875,0.013,-0.139,0.186,0.019,-0.132,0.209,0.887,0.939
"Clinical Laboratory Techniques","Nat Methods","First authors","Old",1.007,60,184,25.543,-0.055,-0.188,0.086,-0.04,-0.187,0.101,0.641,0.817
"Neurology","Neurol Res","First authors","Old",-0.273,60,187,21.925,-0.089,-0.216,0.057,-0.088,-0.217,0.05,0.373,0.624
"Unclassified","Obes Res","First authors","Old",NA,60,213,44.131,0.2,0.038,0.357,0.201,0.045,0.349,0.011,0.095
"Nutritional Sciences","Obesity (Silver Spring)","First authors","Old",NA,60,265,44.906,-0.002,-0.159,0.145,-0.005,-0.156,0.149,0.977,0.987
"Radiotherapy","Strahlenther Onkol","First authors","Old",0.097,60,289,20.415,0.105,0.005,0.204,0.106,0.003,0.205,0.082,0.283
"Immunology","Trends Immunol","First authors","Old",0.551,60,91,28.571,-0.01,-0.218,0.208,-0.003,-0.217,0.211,0.924,0.956
"Parasitology","Trends Parasitol","First authors","Old",0.515,60,131,23.664,-0.007,-0.175,0.192,-0.008,-0.17,0.188,0.947,0.973
"Pharmacology","AAPS PharmSciTech","First authors","Old",-0.151,59,139,32.374,0.073,-0.103,0.242,0.075,-0.094,0.241,0.445,0.676
"Microbiology","Arch Microbiol","First authors","Old",-0.206,59,186,39.247,0.032,-0.11,0.183,0.028,-0.118,0.189,0.726,0.862
"Immunology","Clin Immunol","First authors","Old",0.098,59,259,42.471,-0.124,-0.271,0.022,-0.126,-0.262,0.024,0.109,0.331
"Pharmacology","Consult Pharm","First authors","Old",NA,59,86,53.488,-0.048,-0.271,0.2,-0.035,-0.267,0.229,0.686,0.832
